Title,Author,Year,Month,IsReport,URL,Tags
Life Is Eternal,Ezra Taft Benson,1971,04,F,https://www.churchofjesuschrist.org/study/general-conference/1971/04/life-is-eternal,["plan of salvation"+"resurrection"]
Ignorance Is Expensive,Hartman Rector+ Jr.,1971,04,F,https://www.churchofjesuschrist.org/study/general-conference/1971/04/ignorance-is-expensive,["education"]
Help Needed in the Shaded Areas,William H. Bennett,1971,04,F,https://www.churchofjesuschrist.org/study/general-conference/1971/04/help-needed-in-the-shaded-areas,["youth"+"holy ghost"+"spirituality"]
Honesty and Integrity,Delbert L. Stapley,1971,04,F,https://www.churchofjesuschrist.org/study/general-conference/1971/04/honesty-and-integrity,["honesty"]
“Except the Lord Build the House …”,Gordon B. Hinckley,1971,04,F,https://www.churchofjesuschrist.org/study/general-conference/1971/04/except-the-lord-build-the-house,["marriage"+"home"+"respect"+"family"]
Love of God,Bernard P. Brockbank,1971,04,F,https://www.churchofjesuschrist.org/study/general-conference/1971/04/love-of-god,["tithing"+"charity"]
Statistical Report 1970,Joseph Anderson,1971,04,T,https://www.churchofjesuschrist.org/study/general-conference/1971/04/media/session_6_talk_1/1724239030001,[]
The Iron Rod,Harold B. Lee,1971,04,F,https://www.churchofjesuschrist.org/study/general-conference/1971/04/the-iron-rod,["obedience"+"plan of salvation"+"education"+"evil"+"faith"+"testimony"+"conversion"]
Unchanging Principles of Leadership,Wendell J. Ashton,1971,04,F,https://www.churchofjesuschrist.org/study/general-conference/1971/04/unchanging-principles-of-leadership,["leadership"]
Ye Shall Not Fear,Alvin R. Dyer,1971,04,F,https://www.churchofjesuschrist.org/study/general-conference/1971/04/ye-shall-not-fear,["jesus christ"+"last days"]
Confession and Forsaking:Elements of Genuine Repentance,James A. Cullimore,1971,10,F,https://www.churchofjesuschrist.org/study/general-conference/1971/10/confession-and-forsaking-elements-of-genuine-repentance,["bishops"+"repentance"]
What Is a Teacher?,Paul H. Dunn,1971,10,F,https://www.churchofjesuschrist.org/study/general-conference/1971/10/what-is-a-teacher,["teaching"]
The Purpose of Life:To Be Proved,Franklin D. Richards,1971,10,F,https://www.churchofjesuschrist.org/study/general-conference/1971/10/the-purpose-of-life-to-be-proved,["adversity"+"church history"]
A Time of Testing,Henry D. Taylor,1971,10,F,https://www.churchofjesuschrist.org/study/general-conference/1971/10/a-time-of-testing,["joseph smith"+"adversity"]
Honesty+ a Principle of Salvation,Mark E. Petersen,1971,10,F,https://www.churchofjesuschrist.org/study/general-conference/1971/10/honesty-a-principle-of-salvation,["honesty"]
You Can Get There From Here,Marvin J. Ashton,1971,10,F,https://www.churchofjesuschrist.org/study/general-conference/1971/10/you-can-get-there-from-here,["love"+"social services"]
Thou Shalt Not,Sterling W. Sill,1971,10,F,https://www.churchofjesuschrist.org/study/general-conference/1971/10/thou-shalt-not,["commandments"]
“Strengthen Thy Brethren”,Robert L. Simpson,1971,10,F,https://www.churchofjesuschrist.org/study/general-conference/1971/10/strengthen-thy-brethren,["love"+"priesthood"]
“Thus Saith the Lord”,Theodore M. Burton,1971,10,F,https://www.churchofjesuschrist.org/study/general-conference/1971/10/thus-saith-the-lord,["joseph smith"+"restoration"]
“I Know That My Redeemer Liveth”,Joseph Fielding Smith,1971,10,F,https://www.churchofjesuschrist.org/study/general-conference/1971/10/i-know-that-my-redeemer-liveth,["plan of salvation"+"worship"]
Should the Commandments Be Rewritten?,Richard L. Evans,1971,10,F,https://www.churchofjesuschrist.org/study/general-conference/1971/10/should-the-commandments-be-rewritten,["morality"+"commandments"]
Decisions,Eldred G. Smith,1971,10,F,https://www.churchofjesuschrist.org/study/general-conference/1971/10/decisions,["satan"+"agency"]
Sacrifice Still Brings Forth Blessings,Hartman Rector+ Jr.,1971,10,F,https://www.churchofjesuschrist.org/study/general-conference/1971/10/sacrifice-still-brings-forth-blessings,["sacrifice"+"family home evening"]
With Hand and Heart,Thomas S. Monson,1971,10,F,https://www.churchofjesuschrist.org/study/general-conference/1971/10/with-hand-and-heart,["love"+"jesus christ"]
Let the Spirit of Oneness Prevail,Joseph Fielding Smith,1971,10,F,https://www.churchofjesuschrist.org/study/general-conference/1971/10/let-the-spirit-of-oneness-prevail,["service"+"unity"+"faith"]
Our Responsibility:To Save the World,Delbert L. Stapley,1971,10,F,https://www.churchofjesuschrist.org/study/general-conference/1971/10/our-responsibility-to-save-the-world,["satan"+"obedience"+"commandments"]
Satan’s Thrust—Youth,Ezra Taft Benson,1971,10,F,https://www.churchofjesuschrist.org/study/general-conference/1971/10/satans-thrust-youth,["satan"+"youth"+"music"]
Blessings of the Priesthood,Joseph Fielding Smith,1971,10,F,https://www.churchofjesuschrist.org/study/general-conference/1971/10/blessings-of-the-priesthood,["plan of salvation"+"priesthood"]
The Living Christ,Joseph Anderson,1971,10,F,https://www.churchofjesuschrist.org/study/general-conference/1971/10/the-living-christ,["joseph smith"+"jesus christ"+"resurrection"]
Laying a Foundation for the Millennium,LeGrand Richards,1971,10,F,https://www.churchofjesuschrist.org/study/general-conference/1971/10/laying-a-foundation-for-the-millennium,["jesus christ"+"articles of faith"+"restoration"+"spirituality"]
The Things That Matter Most,A. Theodore Tuttle,1971,10,F,https://www.churchofjesuschrist.org/study/general-conference/1971/10/the-things-that-matter-most,["parenthood"+"home"]
Glimpses of Heaven,Spencer W. Kimball,1971,10,F,https://www.churchofjesuschrist.org/study/general-conference/1971/10/glimpses-of-heaven,["parents"+"plan of salvation"+"children"]
“Where Art Thou?”,N. Eldon Tanner,1971,10,F,https://www.churchofjesuschrist.org/study/general-conference/1971/10/where-art-thou,["obedience"+"temptation"+"blessings"+"commandments"]
How to Worship,Bruce R. McConkie,1971,10,F,https://www.churchofjesuschrist.org/study/general-conference/1971/10/how-to-worship,["jesus christ"+"worship"]
“This Is My Beloved Son”,Loren C. Dunn,1971,10,F,https://www.churchofjesuschrist.org/study/general-conference/1971/10/this-is-my-beloved-son,["bishops"+"parents"+"teaching"+"family home evening"+"children"]
“Watch+ That Ye May Be Ready”,Harold B. Lee,1971,10,F,https://www.churchofjesuschrist.org/study/general-conference/1971/10/watch-that-ye-may-be-ready,["jesus christ"+"preparation"+"missionary work"]
Sustaining of Church Officers,Harold B. Lee,1971,10,T,https://www.churchofjesuschrist.org/study/general-conference/1971/10/media/session_4_talk_1/2338099779001,[]
The Vitality of Love,Milton R. Hunter,1971,10,F,https://www.churchofjesuschrist.org/study/general-conference/1971/10/the-vitality-of-love,["love"]
A New Health Missionary Program,James O. Mason,1971,10,F,https://www.churchofjesuschrist.org/study/general-conference/1971/10/a-new-health-missionary-program,["health"+"missionary work"]
Responsibilities of the Priesthood,Harold B. Lee,1971,10,F,https://www.churchofjesuschrist.org/study/general-conference/1971/10/responsibilities-of-the-priesthood,["priesthood"]
Love Unconditional,Marion D. Hanks,1971,10,F,https://www.churchofjesuschrist.org/study/general-conference/1971/10/love-unconditional,["parenthood"+"youth"+"love"]
The Sifting,ElRay L. Christiansen,1971,10,F,https://www.churchofjesuschrist.org/study/general-conference/1971/10/the-sifting,["temptation"+"sin"+"adversity"+"agency"]
“The Light Shineth”,Marion G. Romney,1971,10,F,https://www.churchofjesuschrist.org/study/general-conference/1971/10/the-light-shineth,["prophets"+"jesus christ"]
“Turn Heavenward Our Eyes”,John H. Vandenberg,1971,10,F,https://www.churchofjesuschrist.org/study/general-conference/1971/10/turn-heavenward-our-eyes,["creation"+"plan of salvation"+"joy"+"faith"]
“I Was in Prison+ and Ye Came Unto Me”,Victor L. Brown,1971,10,F,https://www.churchofjesuschrist.org/study/general-conference/1971/10/i-was-in-prison-and-ye-came-unto-me,["repentance"+"freedom"+"social services"]
“If Ye Be Willing and Obedient”,Gordon B. Hinckley,1971,10,F,https://www.churchofjesuschrist.org/study/general-conference/1971/10/if-ye-be-willing-and-obedient,["obedience"]
The Only True and Living Church,Boyd K. Packer,1971,10,F,https://www.churchofjesuschrist.org/study/general-conference/1971/10/the-only-true-and-living-church,["church organization"]
“By Love+ Serve One Another”,S. Dilworth Young,1971,10,F,https://www.churchofjesuschrist.org/study/general-conference/1971/10/by-love-serve-one-another,["service"+"love"]
Strive for Excellence,Dallin H. Oaks,1971,10,F,https://www.churchofjesuschrist.org/study/general-conference/1971/10/strive-for-excellence,["education"]
Continuity of Service,N. Eldon Tanner,1971,10,F,https://www.churchofjesuschrist.org/study/general-conference/1971/10/continuity-of-service,["service"+"military"+"missionary work"]
This Same Jesus,Hugh B. Brown,1971,10,F,https://www.churchofjesuschrist.org/study/general-conference/1971/10/this-same-jesus,["jesus christ"]
The Nobility of Man in Choosing Good Over Evil,Alvin R. Dyer,1971,10,F,https://www.churchofjesuschrist.org/study/general-conference/1971/10/the-nobility-of-man-in-choosing-good-over-evil,["obedience"+"agency"+"habits"]
The Ten Commandments,Bernard P. Brockbank,1971,10,F,https://www.churchofjesuschrist.org/study/general-conference/1971/10/the-ten-commandments,["obedience"+"commandments"]
Elijah the Prophet,Howard W. Hunter,1971,10,F,https://www.churchofjesuschrist.org/study/general-conference/1971/10/elijah-the-prophet,["family history"+"temple work"]
The Miracle of Missionary Work,Milton R. Hunter,1972,04,F,https://www.churchofjesuschrist.org/study/general-conference/1972/04/the-miracle-of-missionary-work,["sacrifice"+"missionary work"]
Courts of Love,Robert L. Simpson,1972,04,F,https://www.churchofjesuschrist.org/study/general-conference/1972/04/courts-of-love,["bishops"+"repentance"+"disciplinary councils"]
Setting the Example in the Home,H. Burke Peterson,1972,04,F,https://www.churchofjesuschrist.org/study/general-conference/1972/04/setting-the-example-in-the-home,["service"+"parents"+"example"+"home"]
Why Stay Morally Clean,Boyd K. Packer,1972,04,F,https://www.churchofjesuschrist.org/study/general-conference/1972/04/why-stay-morally-clean,["love"+"morality"]
The Last Dispensation,Alvin R. Dyer,1972,04,F,https://www.churchofjesuschrist.org/study/general-conference/1972/04/the-last-dispensation,["dispensations"]
Civic Standards for the Faithful Saints,Ezra Taft Benson,1972,04,F,https://www.churchofjesuschrist.org/study/general-conference/1972/04/civic-standards-for-the-faithful-saints,["u.s. constitution"+"standards"+"book of mormon"]
Peace,Eldred G. Smith,1972,04,F,https://www.churchofjesuschrist.org/study/general-conference/1972/04/peace,["peace"+"service"]
Priesthood—Its Power and Vitality,A. Theodore Tuttle,1972,04,F,https://www.churchofjesuschrist.org/study/general-conference/1972/04/priesthood-its-power-and-vitality,["priesthood"]
The Strength of the Priesthood,Harold B. Lee,1972,04,F,https://www.churchofjesuschrist.org/study/general-conference/1972/04/the-strength-of-the-priesthood,["family"+"morality"+"priesthood"+"fatherhood"+"agency"+"testimony"]
The True Church,LeGrand Richards,1972,04,F,https://www.churchofjesuschrist.org/study/general-conference/1972/04/the-true-church,["church organization"+"restoration"]
Know Thyself+ Control Thyself+ Give Thyself,Paul H. Dunn,1972,04,F,https://www.churchofjesuschrist.org/study/general-conference/1972/04/know-thyself-control-thyself-give-thyself,["courage"+"dedication"+"attitude"+"commitment"]
Our Witness to the World,Hartman Rector+ Jr.,1972,04,F,https://www.churchofjesuschrist.org/study/general-conference/1972/04/our-witness-to-the-world,["christianity"+"restoration"+"testimony"]
Medicine for the Soul,Sterling W. Sill,1972,04,F,https://www.churchofjesuschrist.org/study/general-conference/1972/04/medicine-for-the-soul,[]
Church Auditing Committee Report,Wilford G. Edling,1972,04,T,https://www.churchofjesuschrist.org/study/general-conference/1972/04/media/session_1_talk_2/1789534104001,[]
A Prophet’s Blessing,Joseph Fielding Smith,1972,04,F,https://www.churchofjesuschrist.org/study/general-conference/1972/04/a-prophets-blessing,["gratitude"]
Man’s Eternal Horizon,Joseph Anderson,1972,04,F,https://www.churchofjesuschrist.org/study/general-conference/1972/04/mans-eternal-horizon,["prayer"+"plan of salvation"+"faith"]
The Priesthood:A Royal Army,N. Eldon Tanner,1972,04,F,https://www.churchofjesuschrist.org/study/general-conference/1972/04/the-priesthood-a-royal-army,["example"+"priesthood"]
Counsel to the Saints and to the World,Joseph Fielding Smith,1972,04,F,https://www.churchofjesuschrist.org/study/general-conference/1972/04/counsel-to-the-saints-and-to-the-world,["brotherhood"+"family"]
Knowing God,Bernard P. Brockbank,1972,04,F,https://www.churchofjesuschrist.org/study/general-conference/1972/04/knowing-god,["parents"+"jesus christ"+"god the father"]
Sustaining of Church Officers,N. Eldon Tanner,1972,04,T,https://www.churchofjesuschrist.org/study/general-conference/1972/04/media/session_1_talk_3/1789534105001,[]
A Teacher,Howard W. Hunter,1972,04,F,https://www.churchofjesuschrist.org/study/general-conference/1972/04/a-teacher,["teaching"]
Joy through Christ,Marion D. Hanks,1972,04,F,https://www.churchofjesuschrist.org/study/general-conference/1972/04/joy-through-christ,["jesus christ"+"spirituality"]
Successful Parenthood—A Noteworthy Accomplishment,ElRay L. Christiansen,1972,04,F,https://www.churchofjesuschrist.org/study/general-conference/1972/04/successful-parenthood-a-noteworthy-accomplishment,["parents"+"family"]
Am I My Brother’s Keeper?,Henry D. Taylor,1972,04,F,https://www.churchofjesuschrist.org/study/general-conference/1972/04/am-i-my-brothers-keeper,["brotherhood"+"service"]
Salvation and Exaltation,Theodore M. Burton,1972,04,F,https://www.churchofjesuschrist.org/study/general-conference/1972/04/salvation-and-exaltation,["plan of salvation"]
Statistical Report 1971,Francis M. Gibbons,1972,04,T,https://www.churchofjesuschrist.org/study/general-conference/1972/04/media/session_1_talk_1/1789534103001,[]
What Will the Church Do for You+ a Man?,Gordon B. Hinckley,1972,04,F,https://www.churchofjesuschrist.org/study/general-conference/1972/04/what-will-the-church-do-for-you-a-man,["family"+"priesthood"+"spirituality"]
We Are Called of God,Loren C. Dunn,1972,04,F,https://www.churchofjesuschrist.org/study/general-conference/1972/04/we-are-called-of-god,["authority"+"church leaders"+"church callings"]
Whence Cometh Our Peace?,John H. Vandenberg,1972,04,F,https://www.churchofjesuschrist.org/study/general-conference/1972/04/whence-cometh-our-peace,["peace"]
The Importance of a Personal Testimony,James A. Cullimore,1972,04,F,https://www.churchofjesuschrist.org/study/general-conference/1972/04/the-importance-of-a-personal-testimony,["holy ghost"+"testimony"]
“Judge Not+ That Ye Be Not Judged”,N. Eldon Tanner,1972,04,F,https://www.churchofjesuschrist.org/study/general-conference/1972/04/judge-not-that-ye-be-not-judged,["love"+"charity"+"judging"+"criticism"+"forgiveness"]
Keep the Lines of Communication Strong,Spencer W. Kimball,1972,04,F,https://www.churchofjesuschrist.org/study/general-conference/1972/04/keep-the-lines-of-communication-strong,["obedience"+"communication"+"resurrection"]
The Fullness of the Gospel in Each Man’s Language,J. Thomas Fyans,1972,04,F,https://www.churchofjesuschrist.org/study/general-conference/1972/04/the-fullness-of-the-gospel-in-each-mans-language,["languages"+"communication"]
A Missionary and His Message,Hugh B. Brown,1972,04,F,https://www.churchofjesuschrist.org/study/general-conference/1972/04/a-missionary-and-his-message,["missionary work"+"testimony"]
A Foundation Whereon Men Cannot Fall,David B. Haight,1972,04,F,https://www.churchofjesuschrist.org/study/general-conference/1972/04/a-foundation-whereon-men-cannot-fall,["family home evening"+"family"]
The Aaronic Priesthood—A Sure Foundation,Victor L. Brown,1972,04,F,https://www.churchofjesuschrist.org/study/general-conference/1972/04/the-aaronic-priesthood-a-sure-foundation,["leadership"+"priesthood"]
Missionary Training Begins Early,S. Dilworth Young,1972,04,F,https://www.churchofjesuschrist.org/study/general-conference/1972/04/missionary-training-begins-early,["parents"+"home"+"missionary work"]
Be A Missionary—Always—Everywhere You Go!,William H. Bennett,1972,04,F,https://www.churchofjesuschrist.org/study/general-conference/1972/04/be-a-missionary-always-everywhere-you-go,["example"+"missionary work"]
Eternal Keys and the Right to Preside,Joseph Fielding Smith,1972,04,F,https://www.churchofjesuschrist.org/study/general-conference/1972/04/eternal-keys-and-the-right-to-preside,["first presidency"+"priesthood"]
What Is Your Destination?,Marvin J. Ashton,1972,04,F,https://www.churchofjesuschrist.org/study/general-conference/1972/04/what-is-your-destination,["goals"+"missionary work"]
A Time of Decision,Harold B. Lee,1972,04,F,https://www.churchofjesuschrist.org/study/general-conference/1972/04/a-time-of-decision,["conscience"+"standards"+"agency"]
A Challenge to the Priesthood,Vaughn J. Featherstone,1972,04,F,https://www.churchofjesuschrist.org/study/general-conference/1972/04/a-challenge-to-the-priesthood,["youth"+"prophets"+"priesthood"]
The Testimony of Jesus,Bruce R. McConkie,1972,04,F,https://www.churchofjesuschrist.org/study/general-conference/1972/04/the-testimony-of-jesus,["jesus christ"+"testimony"]
The Importance of Prayer,Franklin D. Richards,1972,04,F,https://www.churchofjesuschrist.org/study/general-conference/1972/04/the-importance-of-prayer,["prayer"]
A People of Sound Judgment,Mark E. Petersen,1972,04,F,https://www.churchofjesuschrist.org/study/general-conference/1972/04/a-people-of-sound-judgment,["prophets"+"restoration"]
“Finishers Wanted”,Thomas S. Monson,1972,04,F,https://www.churchofjesuschrist.org/study/general-conference/1972/04/finishers-wanted,["goals"+"dedication"+"example"]
The Covenant of the Priesthood,Marion G. Romney,1972,04,F,https://www.churchofjesuschrist.org/study/general-conference/1972/04/the-covenant-of-the-priesthood,["covenants"+"priesthood"]
Harmony in the Home,H. Burke Peterson,1972,10,F,https://www.churchofjesuschrist.org/study/general-conference/1972/10/harmony-in-the-home,["parenthood"+"family"]
Live above the Law to Be Free,Hartman Rector+ Jr.,1972,10,F,https://www.churchofjesuschrist.org/study/general-conference/1972/10/live-above-the-law-to-be-free,["obedience"+"temptation"+"commandments"]
Planting Gospel Seeds of Spirituality,David B. Haight,1972,10,F,https://www.churchofjesuschrist.org/study/general-conference/1972/10/planting-gospel-seeds-of-spirituality,["missionary work"]
“May the Kingdom of God Go Forth”,Harold B. Lee,1972,10,F,https://www.churchofjesuschrist.org/study/general-conference/1972/10/may-the-kingdom-of-god-go-forth,["church leaders"+"leadership"]
Every Man in His Own Place,Marion D. Hanks,1972,10,F,https://www.churchofjesuschrist.org/study/general-conference/1972/10/every-man-in-his-own-place,["parenthood"+"youth"+"love"]
Light and Knowledge to the World,Joseph Anderson,1972,10,F,https://www.churchofjesuschrist.org/study/general-conference/1972/10/light-and-knowledge-to-the-world,["joseph smith"+"education"+"restoration"+"spirituality"]
To Become One of the Fishers,James E. Faust,1972,10,F,https://www.churchofjesuschrist.org/study/general-conference/1972/10/to-become-one-of-the-fishers,["obedience"+"humility"+"gratitude"]
To Serve the Master,O. Leslie Stone,1972,10,F,https://www.churchofjesuschrist.org/study/general-conference/1972/10/to-serve-the-master,["service"+"joy"]
Warnings from Outer Space,N. Eldon Tanner,1972,10,F,https://www.churchofjesuschrist.org/study/general-conference/1972/10/warnings-from-outer-space,["prophets"+"joseph smith"+"restoration"+"spirituality"]
Hands,Thomas S. Monson,1972,10,F,https://www.churchofjesuschrist.org/study/general-conference/1972/10/hands,["service"+"jesus christ"+"family"]
“By Love+ Serve One Another”,Victor L. Brown,1972,10,F,https://www.churchofjesuschrist.org/study/general-conference/1972/10/by-love-serve-one-another,["welfare"+"health"+"missionary work"+"social services"]
Watch the Switches in Your Life,Gordon B. Hinckley,1972,10,F,https://www.churchofjesuschrist.org/study/general-conference/1972/10/watch-the-switches-in-your-life,["youth"+"obedience"+"prayer"+"morality"+"priesthood"]
Genealogy:A Personal Responsibility,Theodore M. Burton,1972,10,F,https://www.churchofjesuschrist.org/study/general-conference/1972/10/genealogy-a-personal-responsibility,["family history"]
Three Pledges,L. Tom Perry,1972,10,F,https://www.churchofjesuschrist.org/study/general-conference/1972/10/three-pledges,["obedience"]
Why Do Latte,Eldred G. Smith,1972,10,F,https://www.churchofjesuschrist.org/study/general-conference/1972/10/why-do-latter-day-saints-build-temples,["family history"+"temple work"]
The Sure Word of God,Vaughn J. Featherstone,1972,10,F,https://www.churchofjesuschrist.org/study/general-conference/1972/10/the-sure-word-of-god,["youth"+"scriptures"+"faith"+"testimony"]
Another Prophet Now Has Come!,Mark E. Petersen,1972,10,F,https://www.churchofjesuschrist.org/study/general-conference/1972/10/another-prophet-now-has-come,["prophets"+"restoration"+"spirituality"]
Why The Church of Jesus Christ of Latte,Marion G. Romney,1972,10,F,https://www.churchofjesuschrist.org/study/general-conference/1972/10/why-the-church-of-jesus-christ-of-latter-day-saints,["joseph smith"+"restoration"+"spirituality"]
Caring for the Poor and Needy,Marion G. Romney,1972,10,F,https://www.churchofjesuschrist.org/study/general-conference/1972/10/caring-for-the-poor-and-needy,["welfare"]
A Blessing for the Saints,Harold B. Lee,1972,10,F,https://www.churchofjesuschrist.org/study/general-conference/1972/10/a-blessing-for-the-saints,["blessings"]
Keep the Commandments,Sterling W. Sill,1972,10,F,https://www.churchofjesuschrist.org/study/general-conference/1972/10/keep-the-commandments,["obedience"+"commandments"]
Home Teachers—Watchmen over the Church,James A. Cullimore,1972,10,F,https://www.churchofjesuschrist.org/study/general-conference/1972/10/home-teachers-watchmen-over-the-church,["home teaching"]
Altar+ Tent+ Well,A. Theodore Tuttle,1972,10,F,https://www.churchofjesuschrist.org/study/general-conference/1972/10/altar-tent-well,["home"+"worship"+"work"]
The Priesthood and Its Presidency,N. Eldon Tanner,1972,10,F,https://www.churchofjesuschrist.org/study/general-conference/1972/10/the-priesthood-and-its-presidency,["church leaders"+"priesthood"]
Admonitions for the Priesthood of God,Harold B. Lee,1972,10,F,https://www.churchofjesuschrist.org/study/general-conference/1972/10/admonitions-for-the-priesthood-of-god,["church leaders"+"obedience"+"welfare"+"morality"+"faith"+"commandments"]
What Is a Friend?,Marvin J. Ashton,1972,10,F,https://www.churchofjesuschrist.org/study/general-conference/1972/10/what-is-a-friend,["friendship"]
“Thy Will Be Done+ O Lord”,Franklin D. Richards,1972,10,F,https://www.churchofjesuschrist.org/study/general-conference/1972/10/thy-will-be-done-o-lord,["obedience"+"joy"]
Teach the Gospel of Salvation,Harold B. Lee,1972,10,F,https://www.churchofjesuschrist.org/study/general-conference/1972/10/teach-the-gospel-of-salvation,["government"+"obedience"+"welfare"+"family"]
